id,streetAddress,city,county,price,yearBuilt,buildingArea,homeType,levels,Cluster
95453-19085910,103 Mariah Way,Lakeport,Lake County,0.003105263157894737,0.19741974197419743,0.0,1.0,0.5,4
90032-20642387,4936 Templeton St,Los Angeles,Los Angeles County,0.008157894736842105,0.19221922192219223,0.00025934322597149145,0.75,0.25,4
95814-249347662,500 J St,Sacramento,Sacramento County,0.01788421052631579,0.20182018201820182,0.0,0.5,0.25,4
91789-21698504,20773 E Crest Ln UNIT B,Walnut,Los Angeles County,0.006051452631578948,0.19881988198819883,0.0,0.5,0.5,4
91342-20075739,13750 Hubbard St UNIT 30,Sylmar,Los Angeles County,0.005042905263157895,0.19851985198519853,0.0,1.0,0.5,4
91902-17134012,2920 Briarwood Rd UNIT H9,Bonita,San Diego County,0.004368421052631579,0.19801980198019803,0.0,0.5,0.25,4
90022-20649916,4333 Hammel St,Los Angeles,Los Angeles County,0.005893684210526316,0.19281928192819284,0.0,0.75,0.25,4
91203-333349471,343 Pioneer Dr UNIT 503,Glendale,Los Angeles County,0.007357894736842105,0.19881988198819883,0.0,0.5,0.25,4
91203-20832295,327 Chester St APT A,Glendale,Los Angeles County,0.006157894736842105,0.19821982198219823,0.0,0.5,0.5,4
91801-20707756,1805 Vine St APT C,Alhambra,Los Angeles County,0.006513684210526316,0.19851985198519853,0.0,1.0,0.75,4
91801-145643274,11 S 3rd St UNIT 325,Alhambra,Los Angeles County,0.007978947368421052,0.20152015201520151,0.0,0.5,0.25,4
92612-325860097,2522 Nolita,Irvine,Orange County,0.005978947368421052,0.20192019201920192,0.0,0.5,0.25,4
91360-16426841,200 Oak Leaf Dr #203,Thousand Oaks,Ventura County,0.004731578947368421,0.19791979197919793,0.0,0.5,0.25,4
92865-25420135,2074 N Highland St,Orange,Orange County,0.016736842105263158,0.19681968196819682,0.0005235422400037258,0.75,0.5,4
91360-16426743,291 Sequoia Ct APT 31,Thousand Oaks,Ventura County,0.003989473684210526,0.19781978197819783,0.0,0.5,0.25,4
93427-2076887127,544 Lehigh Ln UNIT 70,Buellton,Santa Barbara County,0.009105263157894736,0.20172017201720172,0.0,0.5,0.5,4
93427-300245753,219 Deming Way,Buellton,Santa Barbara County,0.006357894736842105,0.20172017201720172,0.0001712768879607467,0.5,0.5,4
93728-2093568229,1625 E Olive Ave,Fresno,Fresno County,0.0063052631578947365,0.19291929192919294,0.0,0.75,0.25,4
92801-25346061,1834 W Gramercy Ave,Anaheim,Orange County,0.013157894736842105,0.19601960196019602,0.00043591733727123033,0.75,0.5,4
92801-25124775,820 N Lido Ln,Anaheim,Orange County,0.011526315789473685,0.19621962196219622,0.0003341665056347558,0.75,0.5,4
92801-25345938,1769 W Greenleaf Ave,Anaheim,Orange County,0.005894736842105263,0.19641964196419642,0.0,1.0,0.5,4
